Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Love Will Come To You	Indigo Girls		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007				Folk	5554812	277	1	1	6	13	1992	12/10/07, 11:59 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			2	12/10/10, 11:47 PM	6	8/28/15, 11:34 PM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:06 Love Will Come To You.mp3
Father and Son	Cat Stevens		forthegoodtimes							3515123	219			15			2/14/10, 2:54 PM	5/15/18, 8:58 PM	128	44100		MPEG audio file			1	12/10/10, 11:12 PM	3	8/28/15, 11:28 PM		Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:forthegoodtimes:15 Father and Son.mp3
If I Fell	The Beatles		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007				Rock	2844347	142	1	1	3	13	1964	12/10/07, 11:59 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			3	12/11/10, 12:05 AM	6	8/28/15, 11:36 PM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:03 If I Fell.mp3
Traces	Classics IV		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007				Rock	3374076	168			5	10	1969	12/10/07, 11:59 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			1	12/11/10, 12:04 AM	3	8/28/15, 11:35 PM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:05 Traces.mp3
The Sweetest Days	Vanessa Williams		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007					3415649	213			2			12/10/07, 11:59 AM	5/15/18, 8:58 PM	128	44100		MPEG audio file			1	12/10/10, 11:52 PM	4	8/28/15, 11:20 PM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:02 The Sweetest Days.mp3
Latch	Disclosure	Guy Lawrence	Latch						Electronic	8318863	256	1	1	1		2013	8/25/15, 1:35 AM	5/15/18, 8:58 PM	256	44100		MPEG audio file					4	8/25/15, 1:34 AM		Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Disclosure:Latch:01 Latch.mp3
Go Your Own Way	Fleetwood Mac		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007				Rock	4408549	220	1	1	5	11	1977	12/10/07, 11:59 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			1	12/10/10, 10:53 PM	5	12/7/12, 10:40 PM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:05 Go Your Own Way.mp3
You Can Close Your Eyes	James Taylor		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007					2991064	149			21	24		12/10/07, 11:59 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			2	12/10/10, 11:41 PM	2	8/28/15, 11:29 PM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:21 You Can Close Your Eyes.mp3
The Way You Look Tonight	Frank Sinatra		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007				Easy Listening	4080979	203	2	4	9	20	1990	12/10/07, 11:59 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			1	10/9/14, 10:09 AM	1	8/28/15, 11:25 PM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:2-09 The Way You Look Tonight.mp3
They Live In You	Samuel E. Wright & The Lion King Ensemble	Randy Petersen	The Lion King (Original Broadway Cast Recording)						Soundtrack	6684282	181	1	1	7	20	2006	8/24/15, 10:53 PM	5/15/18, 8:58 PM	256	44100		Purchased AAC audio file					3	8/27/15, 8:19 PM		Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:The Lion King (Original Broadway Cast Recording):07 They Live In You.m4a
