Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
096-Young Rascals - How Can I Be Sure	Various Artists		Rob's Top 200 2018	Rob's Top 200 2018						2797749	174						3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file			2	12/10/10, 11:28 PM	3	8/28/15, 11:20 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/096-Young Rascals - How Can I Be Sure.mp3
Penny Lane	The Beatles		Rob's Top 200 2018	Rob's Top 200 2018					Pop	4262008	183	1	1	9	11	1967	3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		AAC audio file		backup 9	10	9/19/10, 12:59 AM	2	6/21/17, 11:44 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/09 Penny Lane.m4a
Love Songs (love will find a way)	James Taylor		Rob's Top 200 2018	Rob's Top 200 2018						8382616	346			10	11	1975	3/9/19, 12:36 AM	5/15/18, 8:59 PM	193	44100		MPEG audio file		http://mp3stor.com/	6	12/10/10, 11:32 PM	4	6/2/18, 9:33 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/10 Love Songs (love will find a way).mp3
Just My Imagination (Running Away With Me) [Single-Version]	The Temptations		Rob's Top 200 2018	Rob's Top 200 2018					R&B	4699086	234	3	5	14	20	1994	3/9/19, 12:36 AM	5/15/18, 8:59 PM	160	44100		MPEG audio file			1	12/11/10, 12:02 AM	2	8/28/15, 11:43 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/3-14 Just My Imagination (Running Away With Me) [Single-Version].mp3
030-Rick Nelson -That's All She Wrote	Various Artists		Rob's Top 200 2018	Rob's Top 200 2018						3217138	133						3/9/19, 12:36 AM	5/15/18, 8:59 PM	192	44100		MPEG audio file		rob	3	12/10/10, 11:45 PM	3	12/7/12, 11:17 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/030-Rick Nelson -That's All She Wrote.mp3
Bee Gees - Heartbreaker	Various Artists		Rob's Top 200 2018	Rob's Top 200 2018						4080822	254						3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file					1	8/24/15, 11:20 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/Bee Gees - Heartbreaker.mp3
It's Up To You	Ricky Nelson		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				Pop	3580969	178	2	4	16	29	2000	3/9/19, 12:34 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			2	12/10/10, 11:56 PM	7	8/28/15, 11:42 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/2-16 It's Up To You.mp3
I Got A Line On You	Spirit		Rob's Top 200 2018	Rob's Top 200 2018						2661427	166					1994	3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file		rob	1	3/31/19, 8:31 PM	2	6/2/18, 9:26 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/I Got A Line On You.mp3
Bernadette	Four Tops		Rob's Top 200 2018	Rob's Top 200 2018					Motown/Funk/R & B/Soul	3796521	182			1			3/9/19, 12:36 AM	5/15/18, 8:59 PM	166	44100		MPEG audio file		rob	2	12/10/10, 8:32 PM	5	6/2/18, 9:25 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/01 Bernadette.mp3
Where Did Our Love Go	Diana Ross & The Supremes		Rob's Top 200 2018	Rob's Top 200 2018						2424631	150						3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file		rob	3	12/20/15, 7:11 PM	6	6/2/18, 9:24 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/Where Did Our Love Go.mp3
